pre_req,to_take
CSCI051,CSCI052
CSCI051,CSCI055
CSCI052,CSCI081
CSCI055,CSCI081
CSCI052,CSCI062
CSCI062,CSCI105
CSCI062,CSCI140
CSCI055,CSCI140
CSCI081,CSCI131
